English word,French word,Frequency
abide,respecter,37
about,sur,403
above,au dessus,147
abroad,à l'étranger,64
absence,absence,55
abuse,abuser de,47
according,selon,45
account,Compte,46
accuse,accuser,38
acquainted,connaissance,40
action,action,116
advantage,avantage,72
advice,Conseil,43
affairs,affaires,68
affection,affection,76
affections,affections,40
afraid,peur,41
after,après,420
afterwards,ensuite,38
again,encore,769
alive,vivant,90
almost,presque,161
alone,seul,237
along,le long de,112
already,déjà,148
although,bien que,79
always,toujours,63
ambition,ambition,47
ancient,ancien,79
angel,ange,55
anger,colère,60
another,un autre,455
answer,répondre,426
anything,n'importe quoi,105
apparel,vêtements,40
appear,apparaître,150
appears,apparaît,50
approach,approche,77
argument,argument,67
armour,armure,41
aside,de côté,466
asleep,endormi,60
assure,assurer,50
attend,assister,119
attended,assisté,45
authority,autorité,55
avoid,éviter,38
awake,éveillé,78
awhile,quelque temps,102
banish,bannir,127
barren,Dénudé,41
bastard,Connard,208
battle,bataille,117
beard,barbe,96
bearing,palier,73
bears,ours,107
beast,la bête,73
beaten,battu,50
beauty,beauté,233
because,car,187
become,devenir,142
before,avant,839
beggar,mendiant,77
begin,commencer,113
behalf,nom,45
behind,derrière,120
behold,voir,163
being,étant,664
believe,croyez,240
belike,être comme,42
below,au dessous de,54
benefit,avantage,39
besides,outre,109
betray,trahir,57
better,mieux,595
between,entre,241
beyond,au-delà,60
birth,naissance,87
bishop,évêque,48
bitter,amer,74
black,noir,173
blame,faire des reproches,83
bless,bénir,119
blessing,bénédiction,47
blest,heureux,54
blind,aveugle,85
blood,du sang,667
blows,coups,71
blunt,cru,68
blush,rougir,56
bodies,corps,44
bones,des os,76
borne,supporté,83
bottom,bas,106
bought,acheté,51
bound,lié,178
bounty,prime,42
brain,cerveau,95
brains,cerveaux,45
brave,courageux,160
breast,Sein,98
breath,souffle,230
breed,race,50
brief,bref,91
bright,brillant,72
bring,apporter,449
broke,cassé,87
brook,ruisseau,84
brother,frère,645
brought,apporté,196
brows,sourcils,45
burden,fardeau,48
buried,enterré,57
burning,brûlant,51
business,Entreprise,232
cannot,ne peux pas,762
captain,capitaine,177
cardinal,cardinal,164
cares,se soucie,36
carry,porter,89
castle,Château,107
catch,capture,76
cause,cause,338
cease,cesser,47
certain,certain,176
chain,chaîne,67
chair,chaise,40
challenge,défi,48
chamber,chambre,126
chance,chance,104
change,changement,156
charge,charge,202
charity,charité,55
chaste,chaste,39
cheek,joue,79
cheer,acclamation,81
chide,gronder,49
chief,chef,108
child,enfant,242
choice,choix,70
church,église,66
citizen,citoyenne,186
civil,civil,51
claim,prétendre,64
clear,clair,66
close,proche,105
clothes,vêtements,40
clouds,des nuages,59
clown,pitre,350
college,Université,226
colour,Couleur,90
comes,vient,617
comfort,confort,188
coming,venir,158
command,commander,173
commanded,commandé,40
commend,saluer,90
commission,commission,48
commit,commettre,40
common,commun,154
companion,un compagnon,37
company,entreprise,206
complete,Achevée,246
complexion,complexion,40
condition,état,59
conduct,conduite,48
confess,avouer,146
conscience,conscience,122
consent,consentement,94
consider,considérer,58
constable,gendarme,87
constant,constant,49
contempt,mépris,47
content,contenu,158
contrary,contraire,47
copies,copies,446
copyright,droits d'auteur,228
could,pourrait,627
council,conseil,51
counsel,Conseil,135
count,compter,132
counterfeit,contrefaire,55
countess,comtesse,121
country,pays,183
courage,courage,67
course,cours,157
court,tribunal,265
courtesy,courtoisie,65
cousin,cousin,272
coward,lâche,86
crave,demander,42
creature,créature,72
credit,crédit,51
cross,traverser,101
crown,couronne,302
cruel,cruel,72
cunning,ruse,76
curse,malédiction,100
custom,Douane,45
dagger,dague,44
damned,damné,45
dance,Danse,72
danger,danger,101
darkness,obscurité,39
daughter,fille,438
deadly,mortel,51
dearest,très cher,56
dearly,chèrement,42
death,décès,900
deeds,actes,118
defend,défendre,66
degree,diplôme,47
delight,délice,56
deliver,livrer,141
demand,demande,60
denied,refusé,55
depart,partir,66
desert,désert,44
deserve,mériter,65
desire,le désir,219
despair,désespoir,54
desperate,désespéré,50
despite,malgré,52
device,dispositif,43
devil,diable,239
devise,concevoir,50
didst,didst,183
dinner,dîner,95
discourse,discours,60
discover,découvrir,43
disgrace,disgrâce,49
dishonour,déshonorer,50
dispatch,envoi,92
displeasure,mécontentement,41
disposition,disposition,44
distributed,distribué,443
divine,Divin,49
doctor,docteur,113
doing,Faire,75
doors,des portes,62
double,double,90
doubt,doute,173
drawn,tiré,90
dread,crainte,49
dreadful,horrible,59
dream,rêver,133
dreams,rêves,46
drink,boisson,157
drops,gouttes,53
drown,noyer,88
drums,tambours,41
drunk,ivre,70
durst,durst,51
dwell,habiter,41
dying,en train de mourir,48
early,de bonne heure,50
earth,Terre,317
effect,effet,72
either,Soit,172
elbow,coude,59
elder,aîné,43
embrace,embrasse,68
emilia,Émilie,149
emperor,empereur,112
empty,vide,51
encounter,rencontre,53
endure,supporter,76
enemies,ennemis,111
enemy,ennemi,167
enjoy,prendre plaisir,54
enough,assez,313
enter,entrer,2357
entertain,divertir,55
entertainment,divertissement,37
entreat,supplier,111
equal,égal,45
estate,biens,49
eternal,éternel,39
every,chaque,492
everything,tout,42
excellent,excellent,119
except,sauf,38
excuse,excuse,78
execution,exécution,48
exeunt,sortir,1035
express,Express,90
faces,visages,53
faint,perdre connaissance,46
fairy,Fée,58
faith,Foi,408
falls,des chutes,81
false,faux,299
familiar,familier,37
fancy,fantaisie,57
farewell,adieu,353
farther,plus loin,43
fashion,mode,112
fatal,fatal,44
father,père,1076
fault,faute,170
favour,favoriser,137
fearful,craintif,90
fears,peurs,77
feast,le banquet,101
feeble,faible,37
fellow,compagnon,325
fetch,chercher,124
field,champ,192
fiend,démon,67
fierce,féroce,40
fiery,ardent,49
fight,bats toi,283
